profile_gender,profile_age,work_country,work_province,profile_studies_level,profile_studies_level_state,profile_career,profile_university,work_role,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_satisfaction,salary_comparison_last_semester,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment_2020,salary_percentage_inflation_adjustment_2020,salary_month_last_inflation_adjustment,profile_sexual_orientation,profile_has_disabilities_hiring_difficulties,company_employee_number,company_main_activity,company_extra_benefits,company_best_companies_city
Hombre,30,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Ingeniería en Sistemas de Información,UCAECE - Centro de Altos Estudios en Ciencias Exactas,Technical Leader,250000,,,3,3,3+ sueldos,Mix de las anteriores,Dos,45,7,Heterosexual,,2001-5000,Producto basado en Software,"Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias), Pago de jardin/guarderia","Mercado Libre, Medallia, Uala, Iunigo"
Mujer,33,Argentina,Córdoba,Universitario,Completado,Ingeniería en Telecomunicaciones,UNRC - Universidad Nacional de Río Cuarto,Project Manager,96000,79000,,2,2,No,No recibo bono,No,0,0,Heterosexual,,Nov-50,Producto basado en Software,"Clases de idiomas, Horarios flexibles",
Hombre,27,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Manager / Director,340000,225000,Mi sueldo está dolarizado,3,3,3+ sueldos,Performance grupal,Más de tres,0,7,Heterosexual,No,Nov-50,Producto basado en Software,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,20,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Licenciatura en Informática,UNQ - Universidad Nacional de Quilmes,Developer,39620,32885,,2,4,De uno a tres sueldos,Performance de la compañía,Uno,15,5,Heterosexual,,51-100,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de idiomas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",10Pines
Hombre,28,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Computación,UNS - Universidad Nacional del Sur,Developer,90000,73500,Mi sueldo está dolarizado,3,4,No,No recibo bono,No,0,0,Heterosexual,,1001-2000,Servicios / Consultoría de Software / Digital,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",
Mujer,28,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Diseño Multimedial,Universidad Maimónides,Developer,88000,67000,,3,2,No,No recibo bono,Uno,20,3,Heterosexual,No,Nov-50,Producto basado en Software,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,37,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Informática,Universidad Alejandro de Humboldt (venezuela),Developer,66390,55000,,2,2,No,No recibo bono,No,0,0,Heterosexual,,501-1000,Servicios / Consultoría de Software / Digital,Clases de idiomas,
Hombre,25,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,QA / Tester,73000,59000,,3,3,De uno a tres sueldos,Mix de las anteriores,Uno,20,3,Heterosexual,No,201-500,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",cualquier empresa que dolarice el salario de sus empleados.
Mujer,28,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,Technical Leader,192000,135000,Mi sueldo está dolarizado,3,3,No,No recibo bono,Uno,10,7,Heterosexual,,201-500,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias), Certificaciones",
Hombre,38,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Licenciatura en Sistemas de Información,UNDAV,Developer,85000,71000,,3,2,Menos de un sueldo,Performance de la compañía,No,35,3,Heterosexual,,Nov-50,Producto basado en Software,Ninguna de las anteriores,
Mujer,30,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Analista de Sistemas,ORT,Developer,42000,38000,,1,1,No,a que tu manager te quiera dar un bono,No,0,1,¿Qué les importa?,,10001+,Producto basado en Software,"Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Horarios flexibles",no se
Hombre,32,Argentina,GBA,Universitario,Incompleto,Analista de Sistemas,UAI - Universidad Abierta Interamericana,Developer,125000,103000,,3,3,De uno a tres sueldos,Performance individual,Uno,35,5,¿Qué les importa?,No,501-1000,Otras industrias,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,38,Argentina,Provincia de Buenos Aires,Posgrado,Completado,Ingeniería en Informática,UB - Universidad de Belgrano,Technical Leader,431000,375021,Mi sueldo está dolarizado,4,4,Un sueldo,Mix de las anteriores,Uno,8,4,Heterosexual,,101-200,Producto basado en Software,"Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",
Hombre,43,Argentina,GBA,Posgrado,Completado,Diseño Gráfico,UBA - Universidad de Buenos Aires,UX,62000,52000,,2,2,No,No recibo bono,No,0,0,,,201-500,Producto basado en Software,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles",
Hombre,34,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Sociologia,UCV,QA / Tester,83500,66000,,3,2,No,No recibo bono,Dos,25,5,¿Qué les importa?,No,1001-2000,Servicios / Consultoría de Software / Digital,"Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Lactario en la oficina",
Mujer,33,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,Architect,133337,91185,,3,2,Menos de un sueldo,Mix de las anteriores,No,0,0,Heterosexual,,2001-5000,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Sueldo divido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,24,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Informática,UTN - Universidad Tecnológica Nacional,SysAdmin / DevOps / SRE,86000,71000,,4,3,No,No recibo bono,Dos,0,0,¿Qué les importa?,No,Nov-50,Servicios / Consultoría de Software / Digital,Capacitaciones y/o cursos,"Globant, MercadoLibre, Base4Security, Core Security, Infobyte"
Hombre,30,Argentina,Ciudad Autónoma de Buenos Aires,Posgrado,Completado,Ingeniería en Informática,UCEMA,Infosec,280000,180000,,3,3,No,No recibo bono,Tres,20,7,Heterosexual,No,10001+,Producto basado en Software,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,27,Argentina,Ciudad Autónoma de Buenos Aires,Secundario,Completado,,,IT Leader,135000,120000,,3,1,No,Performance de la compañía,No,0,0,Heterosexual,,51-100,Producto basado en Software,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia de paternidad/maternidad extendida",
Hombre,41,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Tecnicatura Superior en Sistemas Informáticos,ISFT 179,Developer,100000,75000,,3,3,Un sueldo,Performance de la compañía,Uno,15,5,,,1001-2000,Otras industrias,"Comidas pagas / subvencionadas, Licencia de paternidad/maternidad extendida",
Hombre,24,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,Technical Leader,92000,74000,,3,2,No,No recibo bono,Uno,19,3,Heterosexual,,501-1000,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Horarios flexibles",
Hombre,30,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Tecnicatura Superior en Análisis de Sistemas,IFTS18,Developer,140557,99093.56,,1,2,Menos de un sueldo,Performance grupal,Uno,10,7,Heterosexual,,5001-10000,Producto basado en Software,"Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles",
Mujer,26,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ciencias de la Comunicación,UBA - Universidad de Buenos Aires,Developer,40000,33000,,1,1,No,No recibo bono,No,0,0,Homosexual,No,101-200,Producto basado en Software,"Capacitaciones y/o cursos, Clases de idiomas",Mercadolibre
Hombre,24,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Tecnicatura en Informática,UNQ - Universidad Nacional de Quilmes,Developer,53000,42000,,2,4,3+ sueldos,Performance de la compañía,Más de tres,30,6,Heterosexual,,51-100,Servicios / Consultoría de Software / Digital,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,22,Argentina,GBA,Secundario,En curso,,,Developer,38569,39037,,2,2,No,No recibo bono,No,0,0,Heterosexual,No,01-Oct,Producto basado en Software,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas",
Mujer,36,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,Consultant,80000,67000,,3,3,Menos de un sueldo,Mix de las anteriores,No,0,3,Bisexual o queer,No,2001-5000,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de gimnasia online, Cuota para universidad / posgrados, Horarios flexibles, Licencia de paternidad/maternidad extendida",
Hombre,42,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Diseño de Imágen y Sonido,UP - Universidad de Palermo,Technical Leader,190000,135000,,3,3,No,No recibo bono,Uno,20,7,Heterosexual,No,201-500,Producto basado en Software,Comidas pagas / subvencionadas,
Mujer,26,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ciencias de la Comunicación,UBA - Universidad de Buenos Aires,Developer,40000,33000,,1,1,No,No recibo bono,No,0,0,Homosexual,No,101-200,Producto basado en Software,"Capacitaciones y/o cursos, Clases de idiomas",Mercadolibre
Hombre,20,Argentina,GBA,Universitario,En curso,Licenciatura en Informática,UNLP - Universidad Nacional de La Plata,Developer,54126,45000,Mi sueldo está dolarizado,3,3,No,No recibo bono,No,0,0,Heterosexual,,01-Oct,Producto basado en Software,Horarios flexibles,
Hombre,28,Argentina,Ciudad Autónoma de Buenos Aires,Secundario,En curso,Licenciatura en Sistemas de Información,,Consultant,70000,60000,,3,2,No,Mix de las anteriores,Dos,14,7,Heterosexual,No,Nov-50,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",
Mujer,28,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Software,UITAI (Venezuela),QA / Tester,58600,48700,,2,2,No,No recibo bono,No,15,4,Heterosexual,,201-500,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos","No tengo nombres, pero diria que las del exterior."
Hombre,37,Argentina,Ciudad Autónoma de Buenos Aires,Secundario,Incompleto,,,Technical Leader,107000,83000,,2,2,No,No recibo bono,Dos,5,1,Heterosexual,,101-200,Producto basado en Software,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,41,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,Developer,153660,108197,,2,3,No,No recibo bono,Uno,30,3,Heterosexual,No,51-100,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)","MercadoLibre,Mulesoft,Medallia"
Hombre,40,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Licenciatura en Análisis de Sistemas,UBA - Universidad de Buenos Aires,Project Manager,190000,130000,,3,2,De uno a tres sueldos,Performance individual,Uno,5,3,Heterosexual,,10001+,Otras industrias,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Lactario en la oficina, Licencia de paternidad/maternidad extendida","Mercado Libre, Santander, Brubank, Andreani"
Hombre,33,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,Developer,126959,88757.19,,3,3,De uno a tres sueldos,Mix de las anteriores,No,0,6,Heterosexual,,501-1000,Producto basado en Software,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Licencia de paternidad/maternidad extendida",
Hombre,28,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Incompleto,Tecnicatura Superior en Programación,Escuela Da Vinci,Developer,3000,26000,,1,1,No,No recibo bono,No,0,0,Heterosexual,Sí,Nov-50,Producto basado en Software,Ninguna de las anteriores,
Hombre,38,Argentina,Provincia de Buenos Aires,Terciario,Completado,Analista de Sistemas,Institulo provincial,Help Desk/software architect/developer,35265.03,34180,,1,1,No,No recibo bono,Más de tres,10,7,Heterosexual,,01-Oct,Producto basado en Software,Abono de celular,"En mi ciudad hay muy pocas empresas de software, y de las que hay, todas te explotan"
Hombre,32,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Licenciatura en Sistemas de Información,UP - Universidad de Palermo,Developer,100000,80000,,2,2,No,Mix de las anteriores,No,0,0,Heterosexual,No,1001-2000,Otras industrias,Abono de Internet,
Hombre,41,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,DBA,180000,180000,,4,3,No,No recibo bono,Uno,20,6,Heterosexual,,5001-10000,Otras industrias,Ninguna de las anteriores,
Mujer,45,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Licenciatura en Psicología,UB - Universidad de Belgrano,Recruiter / HR,90000,75000,,4,2,No,No recibo bono,Uno,5,5,Heterosexual,,501-1000,Servicios / Consultoría de Software / Digital,Licencia de paternidad/maternidad extendida,Mercado Libre - Despegar - Globant
Hombre,37,Argentina,Córdoba,Universitario,Incompleto,Licenciatura en Ciencias dela Computación,UNC - Universidad Nacional de Córdoba,Developer,320000,280000,Mi sueldo está dolarizado,4,3,No,No recibo bono,No,0,0,¿Qué les importa?,No,51-100,Servicios / Consultoría de Software / Digital,"Clases de idiomas, Horarios flexibles",
Mujer,44,Argentina,Mendoza,Universitario,Completado,Diseño Gráfico,UNCUYO - Universidad Nacional de Cuyo,UX,280,260,Mi sueldo está dolarizado,3,3,No,No recibo bono,No,0,1,Homosexual,,Nov-50,Producto basado en Software,"Capacitaciones y/o cursos, Horarios flexibles",Eventbride  
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Publicidad ,Universidad Alejandro de Humboldt ,UX,89000,71000,,2,2,No,No recibo bono,Tres,48,7,Heterosexual,No,Nov-50,Producto basado en Software,"Comidas pagas / subvencionadas, Horarios flexibles",GALICIA
Hombre,31,Argentina,Santa Fe,Universitario,Completado,Ingeniería en Informática,UNL - Universidad Nacional del Litoral,Developer,300000,300000,Mi sueldo está dolarizado,3,3,No,No recibo bono,No,0,0,Heterosexual,,01-Oct,Producto basado en Software,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,37,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Informática,Universidad Alejandro de Humboldt,SysAdmin / DevOps / SRE,103000,95000,,3,2,Un sueldo,Performance de la compañía,No,0,0,Heterosexual,,5001-10000,Otras industrias,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Licencia de paternidad/maternidad extendida, Viáticos",
Hombre,30,Argentina,Provincia de Buenos Aires,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Developer,200000,140000,,3,3,No,No recibo bono,No,0,0,¿Qué les importa?,,Nov-50,Producto basado en Software,Abono de celular,
Hombre,33,Argentina,Córdoba,Universitario,Completado,Diseño Gráfico,Universidad Siglo 21,UX,76000,61000,,1,1,No,No recibo bono,Uno,8,1,Heterosexual,No,01-Oct,Producto basado en Software,Horarios flexibles,
Hombre,39,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Incompleto,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,QA / Tester,79000,65000,,2,1,Menos de un sueldo,Mix de las anteriores,Uno,10,2,¿Qué les importa?,,10001+,Servicios / Consultoría de Software / Digital,"Abono de Internet, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,23,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,Developer,48000,42000,,3,3,No,No recibo bono,Uno,15,3,Heterosexual,,201-500,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",No faquin idea 
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Informática,UCA - Universidad Católica Argentina,Developer,72000,60800,,2,2,No,No recibo bono,Uno,15,3,Heterosexual,,Nov-50,Producto basado en Software,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Mujer,24,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Tecnicatura en Programación,UNSAM - Universidad de San Martín,Developer,50421,39913,,2,2,Menos de un sueldo,Permanencia compañía ,No,0,0,Bisexual o queer,No,5001-10000,Servicios / Consultoría de Software / Digital,"Abono de Internet, Clases de gimnasia online, Comidas pagas / subvencionadas, Licencia de paternidad/maternidad extendida",Mercado libre 
Mujer,34,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Diseño Gráfico,UBA - Universidad de Buenos Aires,UX,96000,74000,Mi sueldo está dolarizado,3,2,No,No recibo bono,No,0,0,Heterosexual,No,1001-2000,Producto basado en Software,"Cuota para universidad / posgrados, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)","Mercado Libre, Banco Galicia, Tarjeta Naranja"
Hombre,36,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Licenciatura en Informática,UNLZ,Technical Leader,130000,105000,,3,3,No,No recibo bono,No,0,0,Heterosexual,No,2001-5000,Otras industrias,"Abono de celular, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,22,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería Espacial,UNSAM - Universidad de San Martín,Developer,53000,42000,,2,1,No,No recibo bono,No,0,0,Bisexual o queer,,Nov-50,Producto basado en Software,Ninguna de las anteriores,
Hombre,40,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Diseño Multimedial,UB - Universidad de Belgrano,Product Manager,150000,110000,,2,3,No,No recibo bono,No,0,0,Heterosexual,,201-500,Otras industrias,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,30,Argentina,GBA,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Consultant,70000,63000,,2,2,No,No recibo bono,Dos,29,6,Heterosexual,,01-Oct,Servicios / Consultoría de Software / Digital,Ninguna de las anteriores,
Hombre,36,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Licenciatura en Informática,UNLZ,Technical Leader,130000,105000,,3,3,No,No recibo bono,No,0,0,Heterosexual,No,2001-5000,Otras industrias,"Abono de celular, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,34,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Licenciatura en Informática,CAECE,Project Manager,110000,97000,,2,1,No,No recibo bono,No,0,0,Heterosexual,,2001-5000,Producto basado en Software,Ninguna de las anteriores,
Hombre,41,Argentina,San Juan,Universitario,Incompleto,Licenciatura en Sistemas de Información,UNSJ,Developer,75000,62000,,2,2,No,No recibo bono,No,0,0,Heterosexual,No,10001+,Otras industrias,Ninguna de las anteriores,
Hombre,37,Argentina,Mendoza,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Technical Leader,240000,195000,Mi sueldo está dolarizado,3,2,No,No recibo bono,No,0,0,Homosexual,,01-Oct,Servicios / Consultoría de Software / Digital,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,45,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,tecnico superior en administracion de empresas,universitas estudios superiores ,Account manager ,100000,80000,,3,2,No,No recibo bono,Uno,30,3,Heterosexual,No,501-1000,Servicios / Consultoría de Software / Digital,"Abono de celular, Estacionamiento gratuito / subvencionado, Viáticos",sap/oracle
Hombre,23,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Developer,68000,56000,,3,3,De uno a tres sueldos,Performance de la compañía,Uno,13,5,Heterosexual,,51-100,Servicios / Consultoría de Software / Digital,"Clases de idiomas, Horarios flexibles",
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,Terciario,Completado,Tecnicatura en Programación,UB - Universidad de Belgrano,Technical Leader,182000,132000,Mi sueldo está dolarizado,4,4,No,No recibo bono,No,0,0,Heterosexual,,1001-2000,Servicios / Consultoría de Software / Digital,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Lic. en Psicología,USAL - Universidad del Salvador,Recruiter / HR,71000,58000,,3,3,Menos de un sueldo,Performance de la compañía,Uno,20,3,Heterosexual,Sí,Nov-50,Servicios / Consultoría de Software / Digital,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Developer,65700,54400,,3,3,No,No recibo bono,Uno,20,3,Heterosexual,,Nov-50,Servicios / Consultoría de Software / Digital,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,29,Argentina,Ciudad Autónoma de Buenos Aires,Secundario,Completado,,,DBA,105000,81000,,2,2,No,No recibo bono,Uno,10,1,Heterosexual,No,201-500,Producto basado en Software,"Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,47,Argentina,Ciudad Autónoma de Buenos Aires,Posgrado,Completado,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,Consultant,160000,,,2,3,No,No recibo bono,Más de tres,50,7,¿Qué les importa?,,01-Oct,Servicios / Consultoría de Software / Digital,Ninguna de las anteriores,
Hombre,26,Argentina,La Rioja,Universitario,Incompleto,Ingeniería en Sistemas de Información,UNLaR - Universidad Nacional De La Rioja,Developer,25000,20000,,2,1,No,No recibo bono,No,0,0,Heterosexual,,01-Oct,Servicios / Consultoría de Software / Digital,Ninguna de las anteriores,Ninguna
Hombre,55,Argentina,GBA,Terciario,Completado,Diseño Gráfico,Escuela Da Vinci,UX,107000,87000,,2,1,No,No recibo bono,Uno,13,7,Heterosexual,No,1001-2000,Servicios / Consultoría de Software / Digital,"Clases de idiomas, Horarios flexibles",
Hombre,35,Argentina,Ciudad Autónoma de Buenos Aires,Primario,Completado,,,Developer,160000,120000,,3,3,Un sueldo,Performance individual,No,0,0,,,10001+,Producto basado en Software,"Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,36,Argentina,Santa Fe,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Project Manager,160000,130000,,4,4,Un sueldo,Performance de la compañía,Uno,50,3,Heterosexual,,51-100,Producto basado en Software,Horarios flexibles,
Hombre,25,Argentina,Provincia de Buenos Aires,Universitario,Completado,Ingeniería en Computación,UNLP - Universidad Nacional de La Plata,QA / Tester,78000,75000,Mi sueldo está dolarizado,3,3,No,No recibo bono,No,0,0,Heterosexual,,01-Oct,Servicios / Consultoría de Software / Digital,"Clases de idiomas, Horarios flexibles",
Mujer,36,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,En curso,Actuario en economía ,UBA - Universidad de Buenos Aires,Project Manager,130,122,,2,2,No,No recibo bono,No,0,0,Bisexual o queer,,51-100,Producto basado en Software,Ninguna de las anteriores,
Mujer,31,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Diseño Gráfico,UADE - Universidad Argentina De la Empresa,Developer,110000,87000,,3,3,No,No recibo bono,Uno,12,7,Homosexual,No,51-100,Producto basado en Software,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)",
Hombre,27,Argentina,GBA,Universitario,En curso,Licenciatura en Sistemas de Información,UADE - Universidad Argentina De la Empresa,Developer,46000,38130,,2,2,Menos de un sueldo,Performance individual,Uno,8,6,Heterosexual,,5001-10000,Otras industrias,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos","Mule soft, Mercado Libre, Real Trends"
Hombre,29,Argentina,Ciudad Autónoma de Buenos Aires,Universitario,Completado,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Data Scientist / Data Engineer,250000,150000,Mi sueldo está dolarizado,3,3,Menos de un sueldo,Performance de la compañía,Más de tres,10,7,¿Qué les importa?,No,1001-2000,Producto basado en Software,Ninguna de las anteriores,
